trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,polygon.started,target.started,mouse.started,target_2.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
0,0,0,0,5,42.3053142,42.3053142,0.3997593,42.3053142,-0.3984375,0.358072917,0,0,0,2.5381994,target',83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
1,0,1,0,3,44.6701497,44.6701497,0.0449952,44.6701497,-0.220052083,0.104166667,1,0,0,1.680032,target',83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
2,0,2,0,5,46.3874477,46.3874477,0.0539591,46.3874477,0.346354167,0.118489583,1,0,0,2.2600738,target',83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
3,0,3,0,3,48.6650299,48.6650299,0.0531219,48.6650299,-0.438802083,0.446614583,1,0,0,2.80978,target',83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
4,0,4,0,5,51.5187227,51.5187227,0.0625137,51.5187227,-0.065104167,-0.192708333,1,0,0,4.9709336,target',83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
5,0,5,0,5,56.5000911,56.5000911,0.0500723,56.5000911,-0.282552083,-0.2734375,1,0,0,2.051475,target',83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
6,0,6,0,5,58.5823286,58.5823286,0.0533255,58.5823286,-0.436197917,0.3515625,1,0,0,2.5378726,target',83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
7,0,7,0,3,61.1281018,61.1281018,0.0456387,61.1281018,-0.0703125,-0.126302083,1,0,0,3.4747946,target',83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
8,0,8,0,5,64.6361036,64.6361036,0.0535183,64.6361036,0.006510417,-0.028645833,1,0,0,1.6752236,,83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
9,0,9,0,3,66.3248783,66.3248783,0.0448747,66.3248783,-0.27734375,0.484375,1,0,0,3.0398718,,83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
10,0,10,0,3,69.396399,69.396399,0.0492501,69.396399,-0.033854167,-0.44921875,1,0,0,3.3969016,target',83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
11,0,11,0,5,72.8359827,72.8359827,0.0580719,72.8359827,-0.37109375,0.44921875,1,0,0,2.1570489,target',83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
12,0,12,0,5,74.9973113,74.9973113,0.0454749,74.9973113,0.313802083,-0.190104167,1,0,0,5.7717825,target',83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
13,0,13,0,5,80.8303741,80.8303741,0.0685813,80.8303741,0.231770833,-0.3515625,1,0,0,2.5227465,,83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
14,0,14,0,5,83.3621004,83.3621004,0.0555485,83.3621004,0.194010417,-0.184895833,1,0,0,3.0009811,target',83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
15,0,15,0,3,86.3802185,86.3802185,0.0456562,86.3802185,0.390625,-0.106770833,1,0,0,2.3828161,target',83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
16,0,16,0,5,88.7852874,88.7852874,0.0441281,88.7852874,0.2734375,0.00390625,1,0,0,1.4383712,target',83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
17,0,17,0,5,90.2541285,90.2541285,0.0582752,90.2541285,-0.41015625,0.170572917,1,0,0,7.3425672,target',83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
18,0,18,0,5,97.6375821,97.6375821,0.064747,97.6375821,0.34375,-0.138020833,1,0,0,3.6338245,target',83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
19,0,19,0,5,101.269151,101.269151,0.0465384,101.269151,0.41796875,-0.42578125,1,0,0,3.1582421,target',83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
20,0,20,0,5,104.4566247,104.4566247,0.0540729,104.4566247,-0.161458333,-0.32421875,1,0,0,1.959692,target',83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
21,0,21,0,3,106.4245697,106.4245697,0.0443451,106.4245697,0.502604167,0.46484375,1,0,0,3.3895773,target',83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
22,0,22,0,3,109.8431624,109.8431624,0.0451336,109.8431624,-0.0390625,-0.37109375,1,0,0,4.9971161,target',83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
23,0,23,0,3,114.8748272,114.8748272,0.0518355,114.8748272,0.447916667,0.486979167,1,0,0,11.2116782,target',83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
24,0,24,0,3,126.1120109,126.1120109,0.0451467,126.1120109,0.131510417,0.19140625,1,0,0,1.9388696,,83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
25,0,25,0,3,128.0642417,128.0642417,0.0441764,128.0642417,0.311197917,-0.140625,1,0,0,3.86641,,83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
26,0,26,0,3,131.9428369,131.9428369,0.0365258,131.9428369,-0.143229167,-0.287760417,1,0,0,2.1043096,target',83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
27,0,27,0,3,134.0891972,134.0891972,0.051398,134.0891972,-0.4921875,0.3125,1,0,0,4.808338,target',83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
28,0,28,0,5,138.9547456,138.9547456,0.0603871,138.9547456,-0.46875,0.0625,1,0,0,2.2365583,target',83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
29,0,29,0,5,141.1947197,141.1947197,0.0595508,141.1947197,0.015625,0.4140625,1,0,0,2.8797621,target',83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
30,0,30,0,5,144.0850023,144.0850023,0.0484321,144.0850023,0.458333333,-0.329427083,1,0,0,4.3268178,,83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
31,0,31,0,3,148.4231003,148.4231003,0.0360104,148.4231003,-0.31640625,0.173177083,1,0,0,6.8672692,,83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
32,0,32,0,5,155.3243238,155.3243238,0.0525375,155.3243238,-0.161458333,0.1953125,1,0,0,1.6123168,target',83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
33,0,33,0,5,156.9806882,156.9806882,0.0605278,156.9806882,0.430989583,0.428385417,1,0,0,9.0763549,target',83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
34,0,34,0,5,166.0848988,166.0848988,0.0660356,166.0848988,0.377604167,-0.322916667,1,0,0,4.577608,,83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
35,0,35,0,3,170.7099634,170.7099634,0.0602349,170.7099634,-0.151041667,-0.091145833,1,0,0,3.0058263,target',83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
36,0,36,0,5,173.7605317,173.7605317,0.0714791,173.7605317,0.009114583,0.098958333,1,0,0,6.6442693,target',83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
37,0,37,0,3,180.3876278,180.3876278,0.0444181,180.3876278,0.329427083,0.26953125,1,0,0,2.8311476,target',83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
38,0,38,0,5,183.293003,183.293003,0.0623832,183.293003,-0.393229167,0.403645833,1,0,0,3.4192986,target',83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
39,0,39,0,5,186.7218308,186.7218308,0.0649926,186.7218308,0.35546875,-0.05859375,1,0,0,7.9801231,target',83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
40,0,40,0,5,194.7200104,194.7200104,0.0628084,194.7200104,0.438802083,0.361979167,1,0,0,3.9848411,,83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
41,0,41,0,5,198.8239211,198.8239211,0.1622747,198.8239211,0.192708333,0.173177083,1,0,0,2.8109251,,83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
42,0,42,0,5,201.5940743,201.5940743,0.0860435,201.5940743,0.17578125,-0.264322917,1,0,0,20.103015,target',83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
43,0,43,0,5,221.6918721,221.6918721,0.054723,221.6918721,-0.283854167,-0.329427083,1,0,0,3.4646232,,83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
44,0,44,0,5,225.1749525,225.1749525,0.0601284,225.1749525,-0.1328125,-0.040364583,1,0,0,2.5242996,target',83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
45,0,45,0,3,227.7065433,227.7065433,0.0480657,227.7065433,-0.3125,0.377604167,1,0,0,5.1996191,target',83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
46,0,46,0,3,232.934143,232.934143,0.038197,232.934143,-0.161458333,-0.4375,1,0,0,7.5930734,target',83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
47,0,47,0,5,240.5831277,240.5831277,0.0776099,240.5831277,0.0078125,-0.014322917,1,0,0,9.964552,target',83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
48,0,48,0,3,250.5419049,250.5419049,0.0447812,250.5419049,-0.235677083,-0.2890625,1,0,0,5.118578,,83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
49,0,49,0,5,255.710491,255.710491,0.0621079,255.710491,0.177083333,-0.354166667,1,0,0,4.7685325,target',83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
