,,,,,,,,,mouse.time,mouse.clicked_name
mouse.time,mouse.clicked_name,,mouse.time,mouse.clicked_name,,mouse.time,mouse.clicked_name,,2.5381994,target'
2.7710069,target',,8.4335216,target',,1.3691273,target',,1.680032,target'
1.4031637,target',,12.1603706,,,1.6997109,,,2.2600738,target'
1.3752396,,,2.9638927,target',,1.7329539,,,2.80978,target'
1.8549074,,,4.0678768,,,1.8966587,target',,4.9709336,target'
1.4405827,,,4.3290131,target',,1.9638796,,,2.051475,target'
1.5039933,target',,2.167221,,,2.3694954,target',,2.5378726,target'
1.5255331,,,5.4120839,target',,1.70128,target',,3.4747946,target'
1.6406085,target',,4.7236564,target',,1.2857284,,,1.6752236,
1.1719744,target',,2.1183224,target',,1.5967991,,,3.0398718,
1.5790527,,,1.7845545,target',,3.952361,,,3.3969016,target'
2.1428679,,,2.8910736,target',,4.0877243,,,2.1570489,target'
1.5721881,target',,4.8871456,,,2.389973,target',,5.7717825,target'
2.3687925,target',,4.0863509,target',,1.2701673,,,2.5227465,
1.4463547,,,6.2035967,target',,2.5040553,,,3.0009811,target'
1.6975127,target',,5.5237177,,,1.7682789,target',,2.3828161,target'
1.4533424,target',,9.9490882,target',,1.3264251,,,1.4383712,target'
1.6789231,target',,6.7853917,,,1.1233131,target',,7.3425672,target'
1.4546785,target',,9.2908333,target',,1.3813616,,,3.6338245,target'
1.8243127,,,7.4841984,,,1.7668147,,,3.1582421,target'
2.3031205,target',,11.7862029,,,2.9916418,,,1.959692,target'
1.5684933,target',,7.7797453,target',,1.9045257,target',,3.3895773,target'
1.518129,target',,3.4331043,target',,1.5357612,,,4.9971161,target'
2.8118317,,,2.189297,target',,2.5699074,target',,11.2116782,target'
1.5312245,target',,2.2641173,target',,4.8976556,,,1.9388696,
2.4082926,target',,10.0823159,target',,1.8257201,,,3.86641,
3.41854,target',,2.245388,target',,1.4553986,,,2.1043096,target'
2.176682,target',,2.8227862,target',,1.8008678,target',,4.808338,target'
2.7703245,target',,2.5789818,target',,4.6878387,,,2.2365583,target'
1.9941354,,,13.6803153,,,1.4202915,target',,2.8797621,target'
1.3567864,target',,3.3032546,target',,3.3185891,target',,4.3268178,
3.2663826,,,4.1302918,,,5.3231492,,,6.8672692,
2.0816222,target',,2.503394,target',,3.7374609,,,1.6123168,target'
1.883836,,,5.6445753,,,1.008048,,,9.0763549,target'
1.8057112,target',,14.7728022,target',,2.5135298,,,4.577608,
3.6799669,target',,8.2331991,target',,4.0588515,target',,3.0058263,target'
1.7507952,target',,5.7793498,target',,3.0548123,,,6.6442693,target'
1.4491689,target',,21.535292,,,3.2657721,,,2.8311476,target'
2.2503012,target',,8.8055835,,,3.5538898,,,3.4192986,target'
0.5404287,,,2.9522696,,,3.272624,,,7.9801231,target'
4.2196442,target',,3.3793076,target',,1.5086954,target',,3.9848411,
3.4833666,target',,13.5866488,target',,8.6147363,,,2.8109251,
1.1930106,target',,18.8116422,,,9.2739783,target',,20.103015,target'
1.3128885,target',,5.9689685,,,4.306262,,,3.4646232,
1.6912824,target',,0.473936,,,3.6805639,,,2.5242996,target'
1.7973379,target',,6.2272753,target',,2.0870416,,,5.1996191,target'
2.7592285,,,4.8710772,target',,3.7598643,,,7.5930734,target'
1.8979213,,,4.0710311,,,2.548498,,,9.964552,target'
1.4017062,target',,9.8677373,target',,4.8930303,,,5.118578,
1.1910418,,,4.2703628,target',,2.3870303,,,4.7685325,target'
2.2231926,target',,1.7716003,target',,2.2877236,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,Alphabet,Number,,,,,,
,,,1.3752396,2.7710069,,,,,,
,,,1.8549074,1.4031637,,,,,,
,,,1.4405827,1.5039933,,,,,,
,,,1.5255331,1.6406085,,,,,,
,,,1.5790527,1.1719744,,,,,,
,,,2.1428679,1.5721881,,,,,,
,,,1.4463547,2.3687925,,,,,,
,,,1.8243127,1.6975127,,,,,,
,,,2.8118317,1.4533424,,,,,,
,,,1.9941354,1.6789231,,,,,,
,,,3.2663826,1.4546785,,,,,,
,,,1.883836,2.3031205,,,,,,
,,,0.5404287,1.5684933,,,,,,
,,,2.7592285,1.518129,,,,,,
,,,1.8979213,1.5312245,,,,,,
,,,1.1910418,2.4082926,,,,,,
,,,12.1603706,3.41854,,,,,,
,,,4.0678768,2.176682,,,,,,
,,,2.167221,2.7703245,,,,,,
,,,4.8871456,1.3567864,,,,,,
,,,5.5237177,2.0816222,,,,,,
,,,6.7853917,1.8057112,,,,,,
,,,7.4841984,3.6799669,,,,,,
,,,11.7862029,1.7507952,,,,,,
,,,13.6803153,1.4491689,,,,,,
,,,4.1302918,2.2503012,,,,,,
,,,5.6445753,4.2196442,,,,,,
,,,21.535292,3.4833666,,,,,,
,,,8.8055835,1.1930106,,,,,,
,,,2.9522696,1.3128885,,,,,,
,,,18.8116422,1.6912824,,,,,,
,,,5.9689685,1.7973379,,,,,,
,,,0.473936,1.4017062,,,,,,
,,,4.0710311,2.2231926,,,,,,
,,,1.6997109,8.4335216,,,,,,
,,,1.7329539,2.9638927,,,,,,
,,,1.9638796,4.3290131,,,,,,
,,,1.2857284,5.4120839,,,,,,
,,,1.5967991,4.7236564,,,,,,
,,,3.952361,2.1183224,,,,,,
,,,4.0877243,1.7845545,,,,,,
,,,1.2701673,2.8910736,,,,,,
,,,2.5040553,4.0863509,,,,,,
,,,1.3264251,6.2035967,,,,,,
,,,1.3813616,9.9490882,,,,,,
,,,1.7668147,9.2908333,,,,,,
,,,2.9916418,7.7797453,,,,,,
,,,1.5357612,3.4331043,,,,,,
,,,4.8976556,2.189297,,,,,,
,,,1.8257201,2.2641173,,,,,,
,,,1.4553986,10.0823159,,,,,,
,,,4.6878387,2.245388,,,,,,
,,,5.3231492,2.8227862,,,,,,
,,,3.7374609,2.5789818,,,,,,
,,,1.008048,3.3032546,,,,,,
,,,2.5135298,2.503394,,,,,,
,,,3.0548123,14.7728022,,,,,,
,,,3.2657721,8.2331991,,,,,,
,,,3.5538898,5.7793498,,,,,,
,,,3.272624,3.3793076,,,,,,
,,,8.6147363,13.5866488,,,,,,
,,,4.306262,6.2272753,,,,,,
,,,3.6805639,4.8710772,,,,,,
,,,2.0870416,9.8677373,,,,,,
,,,3.7598643,4.2703628,,,,,,
,,,2.548498,1.7716003,,,,,,
,,,4.8930303,1.3691273,,,,,,
,,,2.3870303,1.8966587,,,,,,
,,,2.2877236,2.3694954,,,,,,
,,,1.6752236,1.70128,,,,,,
,,,3.0398718,2.389973,,,,,,
,,,2.5227465,1.7682789,,,,,,
,,,1.9388696,1.1233131,,,,,,
,,,3.86641,1.9045257,,,,,,
,,,4.3268178,2.5699074,,,,,,
,,,6.8672692,1.8008678,,,,,,
,,,4.577608,1.4202915,,,,,,
,,,3.9848411,3.3185891,,,,,,
,,,2.8109251,4.0588515,,,,,,
,,,3.4646232,1.5086954,,,,,,
,,,5.118578,9.2739783,,,,,,
,,,,2.5381994,,,,,,
,,,3.912586473,1.680032,,,,,,
,,,,2.2600738,,,,,,
0.100447879,Mean RT,,,2.80978,,,,,,
,,,,4.9709336,,,,,,
,,,,2.051475,,,,,,
,,,,2.5378726,,,,,,
,,,,3.4747946,,,,,,
,,,,3.3969016,,,,,,
,,,,2.1570489,,,,,,
,,,,5.7717825,,,,,,
,,,,3.0009811,,,,,,
,,,,2.3828161,,,,,,
,,,,1.4383712,,,,,,
,,,,7.3425672,,,,,,
,,,,3.6338245,,,,,,
,,,,3.1582421,,,,,,
,,,,1.959692,,,,,,
,,,,3.3895773,,,,,,
,,,,4.9971161,,,,,,
,,,,11.2116782,,,,,,
,,,,2.1043096,,,,,,
,,,,4.808338,,,,,,
,,,,2.2365583,,,,,,
,,,,2.8797621,,,,,,
,,,,1.6123168,,,,,,
,,,,9.0763549,,,,,,
,,,,3.0058263,,,,,,
,,,,6.6442693,,,,,,
,,,,2.8311476,,,,,,
,,,,3.4192986,,,,,,
,,,,7.9801231,,,,,,
,,,,20.103015,,,,,,
,,,,2.5242996,,,,,,
,,,,5.1996191,,,,,,
,,,,7.5930734,,,,,,
,,,,9.964552,,,,,,
,,,,4.7685325,,,,,,
,,,,,,,,,,
,,,,3.812138594,,,,,,
